1000 31
A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z	[	\	]	^	Class
z	j	c	au	au	an	c	p	ai	as	h	ah	g	ax	d	q	h	m	i	ad	u	ap	ad	t	o	f	s	n	o	u	c3
w	ap	k	e	au	an	af	q	q	as	aj	q	j	t	n	f	b	af	am	aj	l	r	am	ac	ai	p	y	p	ak	k	c3
al	z	j	au	l	aa	ac	p	t	aj	b	au	d	o	v	x	an	ar	av	i	j	aq	y	t	ac	c	d	h	a	y	c5
m	an	am	t	ag	r	ar	t	f	e	r	ah	av	d	ar	ab	p	v	ag	a	at	ae	m	a	g	aa	a	e	ap	m	c14
q	u	ab	ao	t	n	r	ak	ab	av	ad	s	r	m	d	u	l	j	p	ap	o	av	b	u	r	e	h	ae	ag	av	c2
v	ah	ag	y	ab	aa	ac	as	l	c	p	f	aq	k	m	s	h	l	ab	n	ai	k	k	d	t	ai	al	am	ae	g	c5
a	aq	f	g	y	x	z	t	n	x	z	v	ar	j	e	e	an	o	ab	aj	f	av	n	ap	c	au	e	av	r	u	c4
w	ai	r	am	a	e	au	aq	ak	ar	d	g	w	as	l	au	ak	q	al	t	t	n	x	p	ak	v	m	d	o	g	c6
a	i	m	ai	w	aq	f	ag	l	l	a	ai	m	a	r	y	ap	o	aa	z	ak	at	ak	av	au	q	av	h	b	as	c11
h	aw	g	ag	s	as	au	a	ae	x	aq	av	u	z	d	aa	b	p	v	as	q	k	ag	x	c	l	d	x	b	e	c1
o	aa	ac	y	aq	ab	ag	ae	g	aq	as	h	h	b	q	q	t	ak	f	i	k	aq	ad	ai	ar	af	ar	ac	ae	av	c9
o	t	w	n	ar	ad	j	l	an	h	f	ax	g	ab	aq	h	aq	q	r	ak	an	ab	c	j	r	am	p	i	ab	f	c12
p	p	ag	e	ap	x	z	ah	ab	f	ao	q	e	al	ao	ar	h	ad	an	aj	j	c	g	am	h	c	d	j	h	af	c4
as	i	aq	ag	ai	aa	ac	au	m	ah	k	ap	at	ae	at	c	f	z	aq	ak	f	ar	al	h	ar	w	d	z	p	a	c5
ax	m	ac	aa	c	an	g	m	g	as	x	aj	p	k	ak	at	q	an	i	au	w	h	ae	i	at	ax	p	h	af	a	c3
z	m	aj	o	ai	x	z	k	ar	ai	x	an	i	f	aq	b	ai	as	aq	at	a	p	ax	aj	q	ab	af	as	ar	d	c4
s	f	f	aj	aw	av	ao	i	t	v	ab	am	s	b	at	l	n	j	av	ac	h	am	aw	o	aa	at	e	av	d	t	c7
t	af	a	v	aq	x	z	g	k	ae	g	w	as	am	p	l	aw	l	ax	an	aq	d	ai	aw	t	aj	ak	i	r	m	c4
m	n	ar	b	i	n	h	an	w	ao	n	ah	ab	e	y	ad	aq	ad	v	x	an	b	al	ad	o	p	f	h	an	av	c2
aj	m	ak	y	v	av	am	v	as	o	ac	av	y	w	at	aw	q	c	l	x	z	ac	f	aj	f	ae	p	y	as	ag	c7
ao	d	an	l	av	n	ac	f	au	av	aj	e	v	f	o	ai	ar	ah	u	e	ae	o	r	an	b	k	ao	x	g	av	c2
w	d	au	e	j	n	ad	m	ae	b	ad	au	ak	ab	j	ak	av	ab	au	ab	ai	c	aj	ag	d	u	av	g	ad	av	c2
g	ao	m	s	g	n	x	ag	y	au	q	ax	a	ad	p	s	ap	aw	ag	c	o	an	ar	m	r	ao	au	as	t	av	c2
ab	a	au	g	x	ab	ap	m	g	ao	t	y	u	ap	as	n	z	av	ap	m	ah	ag	z	au	ao	i	ah	v	h	af	c9
w	s	c	l	an	n	ab	al	n	x	t	s	a	f	ai	y	ab	ak	ax	z	q	r	ad	h	am	ak	m	f	ai	av	c2
v	ad	ab	e	ao	i	as	s	au	af	al	e	am	w	j	e	b	k	u	w	m	r	ac	ag	r	j	s	a	aw	u	c10
r	i	ab	q	v	i	p	ac	b	f	al	ab	aq	ak	aa	m	b	aw	ak	ai	aa	q	ac	ax	v	ax	f	as	u	e	c10
an	n	y	e	j	n	f	e	n	v	v	b	ax	j	r	i	af	ah	a	au	at	v	an	ai	u	k	au	ax	al	av	c2
ap	z	y	v	q	m	aa	ac	a	ao	v	v	af	af	q	as	s	v	k	ag	at	aq	l	g	u	h	au	j	ag	ah	c8
t	x	ao	t	l	j	aa	au	aq	ar	ae	s	n	ap	an	as	e	am	ai	g	ae	an	a	as	am	ac	n	aj	ai	k	c15
af	x	b	g	ai	i	p	v	aa	ai	am	aj	aa	as	au	ae	f	u	v	ax	q	x	ac	w	m	ae	q	al	ab	d	c10
ao	ak	f	av	o	j	af	as	d	av	ai	ax	f	au	aw	b	e	t	ap	ae	a	g	aq	af	as	z	l	an	aq	u	c15
aq	z	u	g	as	m	u	i	m	j	z	ao	e	at	ar	ag	m	o	ah	am	y	ax	t	ae	ao	aa	o	ac	d	ac	c8
aq	aq	t	p	j	ab	am	ai	g	ae	n	ad	c	ad	ag	a	ar	l	av	ar	b	a	ak	ap	ah	q	ai	d	at	at	c9
t	am	h	e	a	j	o	ag	a	ab	r	b	am	t	y	c	e	at	f	o	aa	h	a	m	f	aq	o	af	ax	h	c15
af	a	at	e	i	ab	s	s	g	w	ak	f	j	v	x	ak	c	an	f	i	y	ag	x	ae	ap	q	y	ae	a	aq	c9
an	g	ak	at	ad	ad	aq	ap	o	h	ag	t	d	av	z	am	af	ar	x	ar	ac	n	i	v	al	p	ac	a	aj	ao	c12
ah	ak	u	au	ae	an	aq	p	aa	as	au	af	b	aa	d	af	ab	f	a	c	u	ae	u	r	l	g	ab	ah	ap	w	c3
c	z	ar	z	ax	m	am	r	ah	am	a	ac	v	ab	j	z	h	ac	r	ax	as	ap	j	l	ag	am	o	aj	ab	n	c8
at	av	ag	k	r	aa	ac	w	l	ae	am	an	w	c	ae	an	t	u	s	r	al	n	an	k	av	i	at	aa	ar	a	c5
t	ai	at	ao	z	an	w	o	a	as	aa	x	af	as	aj	ac	q	am	j	ab	f	e	av	ad	k	e	j	h	d	b	c3
m	z	p	ar	a	m	t	ar	at	aa	i	o	af	am	m	v	e	an	aa	e	al	i	ac	c	aj	p	aj	y	ab	p	c8
y	at	at	y	w	ad	s	ar	ai	h	u	ak	av	u	j	ai	ad	ai	aa	au	aa	p	q	e	a	x	at	al	av	x	c12



/**(8.2%) c8 <- B=z & F=m
(7.8%) c4 <- F=x & G=z
(7.7%) c2 <- F=n & ^=av
(7.2%) c9 <- F=ab & I=g
(6.9%) c3 <- F=an & J=as
(6.8%) c12 <- F=ad & J=h
(6.6%) c7 <- F=av & O=at
(6.5%) c14 <- F=r & \=e
(6.4%) c6 <- F=e & H=aq
(6.0%) c10 <- F=i & W=ac
(6.0%) c13 <- F=ao & R=o
(5.8%) c5 <- F=aa & G=ac
(5.7%) c1 <- F=as & Y=c
(5.1%) c11 <- F=aq & Q=ap
(7.3%) c15 <- F=j & Q=e
**/
