10000 7
A	B	C	D	E	F	Class
ach	aba	eu	ahg	akn	aca	c2
za	ace	aeg	qg	afg	tk	c1
ed	ng	sk	jr	ip	np	c3
ahl	aeb	de	kx	gy	act	c5
ye	ng	aej	kg	fm	aaf	c3
gl	xn	vu	aku	acn	aex	c4
aiu	aeb	afn	aev	fx	io	c5
se	ng	qg	add	ahh	li	c3
uj	aba	ww	tl	ne	mr	c2
adi	aeb	lm	qv	ais	hv	c5
sd	ace	ej	acs	dl	ws	c1
tv	ace	acs	os	tm	cl	c1
uy	xn	ot	afa	e	wr	c4
oo	xn	aec	hp	act	vk	c4
nu	ace	ago	aku	qz	ly	c1
ez	ng	ali	qf	rs	acl	c3
ui	aba	agw	aid	un	lg	c2
eh	ace	afu	adq	xr	abi	c1
aew	aeb	fz	acp	cs	aft	c5
abe	aeb	jd	afn	bb	fb	c5
yc	ng	wi	iv	aka	er	c3
aeb	xn	age	ahe	ahe	aat	c4
cv	aeb	nn	aar	it	oy	c5
om	xn	i	oj	qr	abc	c4
sg	aeb	gb	xu	ei	ol	c5
adw	xn	vh	am	abr	wc	c4
mi	ace	jy	jg	air	afu	c1
jj	ng	aes	ajd	abd	hm	c3
sw	aeb	vu	ahr	ej	h	c5
ada	ng	zh	alj	ada	rp	c3
ro	ng	kq	xn	xj	nl	c3
vv	xn	mg	age	qy	fl	c4
my	xn	wo	er	ek	am	c4
om	aba	kk	ig	jn	akh	c2
agx	ace	xs	wz	afd	de	c1
ia	aeb	qg	qb	aq	ae	c5
oj	aba	sh	ahq	aba	qs	c2
ox	ng	afl	px	wg	nu	c3
aeg	ng	bh	ald	agb	g	c3
wu	aeb	xe	yx	dm	tb	c5
yt	xn	wc	nv	yj	mx	c4
ql	ng	ux	aes	adq	qx	c3
l	ace	agb	pn	abv	yy	c1
nj	xn	akv	pn	pm	e	c4
wy	aba	dr	me	eg	aew	c2
agp	aeb	ahq	zl	acz	lc	c5
hg	aba	acu	aak	iy	jv	c2
ka	aeb	fl	gz	l	aiv	c5
wm	aba	wl	aip	tf	ajp	c2
abw	xn	kx	akt	un	oc	c4
afs	aba	aga	aki	akk	hw	c2
xn	ng	ads	aak	ay	abo	c3
gp	ng	agy	pq	tw	zs	c3
jk	xn	ahf	ze	ue	op	c4
fg	ng	ka	kq	afc	acg	c3
jz	aeb	uq	ie	nr	age	c5
aig	ace	alk	ml	zp	hr	c1
aei	ng	gg	agu	sa	afr	c3
sd	aeb	md	yo	abe	hu	c5
vu	ng	gj	al	gv	dm	c3
qx	xn	ahr	tb	ks	on	c4
yv	xn	lg	jj	jt	afh	c4
kp	aeb	ff	aas	adn	bh	c5
agp	aba	ace	akb	x	hz	c2
bg	ace	ae	ik	th	agf	c1
iu	ng	aki	abp	agm	ij	c3
acy	ng	rn	vb	ajw	ck	c3
akq	ng	zg	ot	pf	dq	c3
ahc	aeb	acc	gc	ob	kh	c5
su	aba	adj	ek	qs	abf	c2
kb	ng	xa	aco	ahr	pn	c3
w	aeb	ud	sn	sy	jk	c5
th	aba	bf	xg	rd	bb	c2
xi	xn	ahk	nb	aji	ahc	c4
qn	aeb	h	sc	ov	aau	c5
tj	ace	du	fq	lz	iq	c1
so	ng	gb	abs	ajj	ka	c3
ahm	ng	cg	aff	y	ahv	c3
aaw	aeb	akk	df	acj	go	c5
bk	ng	ck	aes	xb	sl	c3
acn	xn	fm	aao	mp	yj	c4
jo	ace	ajd	afj	ade	afr	c1
qh	ace	aew	ff	y	bg	c1
ih	ace	em	abg	ue	ix	c1
gu	ace	cz	abh	fq	db	c1
agt	aba	ne	wj	xu	ahe	c2
j	ace	sr	acw	vr	hx	c1
e	xn	adj	bz	wj	vi	c4
agv	ace	akl	kx	ic	vq	c1
kc	ace	aiv	qf	dj	e	c1
g	xn	yc	abp	agm	afk	c4
zw	aeb	aaw	bf	nl	abg	c5
qc	aba	hq	adc	alg	ox	c2
hc	ace	ajq	bx	nc	ach	c1
bh	xn	sy	aio	a	ww	c4
xb	xn	cz	ib	abp	abd	c4
ni	aeb	aco	bb	agc	aco	c5
ajt	xn	gu	nm	agm	ic	c4
ajd	aba	aev	ku	acf	aba	c2
aad	ng	aiq	pm	cz	ds	c3
lg	aeb	alc	ot	ld	wk	c5
yc	xn	aiy	ni	ca	sd	c4
qb	ng	r	xx	abf	ph	c3
cg	xn	av	afy	xt	fv	c4
aj	ace	ai	aij	ut	et	c1
uj	ng	aan	za	akh	dv	c3
hj	aba	acw	abi	aer	vt	c2
qo	xn	up	jz	uv	qa	c4
ou	xn	ado	ajw	jn	afx	c4
ms	ng	ahz	iv	as	la	c3
pz	ng	px	ahb	ahb	ack	c3
jz	xn	x	abi	dv	agp	c4
ss	aba	bs	af	eh	bw	c2
xk	xn	ne	fa	vw	i	c4
im	aba	akw	pu	aep	d	c2
yn	aba	ok	ml	fc	hi	c2
ro	ng	gv	yr	wc	ga	c3
wg	aeb	aeq	agp	akg	fi	c5
ahr	xn	ls	aek	rk	ry	c4
rr	ace	pv	op	jm	ti	c1
jz	ng	xd	aki	el	gf	c3
zx	ng	rc	fu	il	hh	c3
du	aba	pg	mi	dm	cp	c2
xa	aeb	aij	xl	dj	aen	c5
cz	ng	pk	tn	bg	dx	c3
vz	ace	aj	lw	aec	ain	c1
up	ng	nc	yh	zg	lk	c3
xp	ng	aer	hr	x	ca	c3
tq	ace	tp	fk	fd	add	c1
ln	aba	hz	iq	yt	qk	c2
ali	aeb	aat	afy	pa	ks	c5
akb	aba	afa	pi	agc	abx	c2
ajn	ng	nm	ez	ajm	sc	c3
aes	ace	vz	ajf	ahb	aiw	c1
zh	xn	afo	qx	ad	zw	c4
adv	xn	aaw	gv	bk	kf	c4
agd	aeb	aan	agu	adv	ev	c5
zv	ng	ra	co	abn	abi	c3
qj	xn	er	acz	pd	ff	c4
agq	xn	aam	aad	pe	ef	c4
do	ace	rr	gi	ago	ij	c1
ah	aeb	abo	ajv	xs	yf	c5
ql	aeb	aba	nw	kp	vf	c5
rz	aeb	mw	rf	bz	vc	c5
afn	aba	ok	tk	ss	e	c2
zd	aba	vw	ka	mm	av	c2
st	aeb	ya	aha	qx	acr	c5
bk	xn	adr	en	nw	bm	c4
wf	ace	afz	qa	jb	na	c1
abd	aeb	zi	cn	adx	aev	c5
vl	ng	q	acx	uz	akl	c3
lb	aba	gf	ael	pm	ty	c2
le	aba	ci	aga	akw	ud	c2
wg	ace	rb	cf	lk	aex	c1
ow	aeb	aeq	od	el	zh	c5
ga	xn	xq	dp	adu	ku	c4
ap	xn	qp	aex	zj	e	c4
yk	ng	ady	qe	tl	bs	c3
alb	xn	akz	ada	bl	pc	c4
hq	ng	aei	sh	dz	po	c3
ry	xn	ss	pv	ov	cm	c4
cm	aeb	tj	agt	rt	afa	c5
acq	xn	xl	ri	vg	yl	c4
tm	ace	aar	e	kq	ik	c1
akj	xn	aea	aad	vs	xa	c4
aah	aba	rg	tl	yo	iw	c2
ge	ng	mc	if	cj	nw	c3
agv	ace	no	gj	vr	aie	c1
kq	aeb	aja	xh	ajo	ni	c5
no	ng	ha	afi	y	jx	c3
il	ace	hd	ag	aek	ec	c1
aiz	aeb	fk	nk	ky	ahd	c5
dc	xn	ah	z	ajg	gp	c4
jc	xn	afv	cd	w	aka	c4
le	aeb	adx	kr	ky	oc	c5
by	aba	ok	yg	akq	us	c2
ahl	ace	cz	ajh	sq	akr	c1
afw	aeb	wt	adv	mn	kz	c5
akq	aba	zx	ajh	ie	mi	c2
hi	ng	adm	uy	wq	gx	c3
ua	ng	ip	ahd	gi	aht	c3
cm	xn	ft	afu	kj	iq	c4
ko	xn	fc	zc	ae	zn	c4
ahx	aeb	lz	tt	gh	xw	c5
abs	ng	ur	aa	nd	in	c3
ym	aba	ah	ahw	air	ws	c2
ng	aeb	uh	vw	sh	abg	c5
ry	aeb	jd	vo	yp	cg	c5
rf	ng	ahf	aex	cy	zf	c3
rk	xn	hv	ih	ab	yz	c4
yy	aeb	ail	js	aiy	pf	c5
rt	ace	tt	ru	me	zo	c1
acw	aeb	pn	nj	ij	cc	c5
tu	xn	aen	aex	ti	afq	c4
afu	xn	eg	xc	afr	wp	c4
qr	ace	adm	av	cr	yg	c1
vk	aba	ct	cs	jq	lr	c2
qn	ace	ajv	vm	acz	aed	c1
cn	ng	dw	ajc	aq	yu	c3
em	aeb	bv	ua	qw	ahj	c5
xx	ace	iv	adl	em	ala	c1
mg	aba	u	jp	aae	aeu	c2
li	xn	vu	afk	ajd	dk	c4
jl	aba	aku	zk	pf	agm	c2
oy	aeb	ij	aco	wi	ul	c5
xz	aeb	mw	hv	wj	afz	c5
la	xn	acv	ajh	fc	al	c4
aft	xn	ail	adg	sk	ck	c4
zq	aeb	qy	lo	yy	qm	c5
akv	aeb	all	kr	pd	abc	c5
adz	aba	ny	xx	tk	fl	c2
eb	xn	tg	tw	zq	aag	c4
aek	aba	mi	jb	sg	sz	c2
sb	aba	fn	au	xu	afw	c2
acs	xn	td	ob	gm	kq	c4
km	aba	nz	agp	bw	ack	c2
ali	aeb	xu	hq	wl	pe	c5
ahr	xn	gv	un	u	xo	c4
afc	ace	acf	zg	tc	qv	c1
zc	aba	jz	afp	agr	vg	c2
ake	ng	ve	hw	qq	agz	c3
km	ng	ca	aez	zx	adr	c3
qr	ng	cv	acm	ez	ir	c3
lr	ace	fj	mi	pp	nh	c1
acw	aba	bs	agr	dd	ln	c2
uo	ace	kn	agi	dr	mv	c1
wc	ace	ti	cm	adu	tm	c1
mr	aeb	aiz	ox	cd	cm	c5
aca	aeb	ajy	ln	rn	qi	c5
agp	xn	ys	gw	qb	tx	c4
ahu	aba	adl	zz	py	aio	c2
acw	ace	mu	fp	alc	aic	c1
ud	xn	cn	pl	pn	xi	c4
aff	xn	aao	zm	eq	ko	c4
ack	ace	ri	ot	ku	tc	c1
qd	xn	aav	fp	mz	tr	c4
afx	aeb	dn	vp	afc	xw	c5
ll	ng	tn	ajo	v	aaq	c3
ue	aba	bb	ve	lv	pm	c2
vv	ng	i	mh	lx	yn	c3
tx	ng	kb	ahz	aiw	fv	c3
yn	xn	afo	ake	abd	ij	c4
hu	aeb	po	ig	uq	ace	c5
fc	aeb	cn	nl	zt	ga	c5
rv	ng	fs	rl	aip	p	c3
afj	aba	tv	qt	vs	ajk	c2
yj	ace	ajf	ss	iu	ajn	c1
akg	aba	y	by	bg	aae	c2
qd	xn	ahu	kc	aeq	bh	c4
aaw	ng	ali	pl	th	je	c3
yy	xn	adb	xt	wq	ajd	c4
gm	xn	agy	ajb	ahs	xc	c4
abe	ace	ajt	abj	op	aiv	c1
ji	ng	wc	afv	wt	yb	c3
fm	aeb	xk	kj	ng	acf	c5
xn	aeb	hi	on	ajy	aew	c5
agq	ace	abi	aeu	qs	ake	c1
sz	ng	su	g	mu	abo	c3
ag	aba	ajz	aau	n	xg	c2
qy	aba	vy	iy	adb	ms	c2
gg	xn	gy	hn	dz	ng	c4
ut	xn	abz	vf	tz	mg	c4
xb	ng	aba	ali	xz	afg	c3
aia	aeb	ec	aiq	dt	jb	c5
ahs	aba	po	sm	ale	q	c2
yh	ace	mi	gv	ec	kh	c1
ks	aeb	aba	ajx	akt	adw	c5
kd	ng	zd	aim	nc	aez	c3
ah	ace	ahr	aja	kl	sz	c1
ix	aeb	akk	agm	aci	add	c5
oz	ng	ok	md	lt	hq	c3
w	aeb	yk	zk	bv	zj	c5
uj	ng	if	au	aao	hf	c3
acy	aeb	aak	jv	np	acc	c5
mf	xn	acr	zc	nw	jy	c4
en	xn	ep	we	ky	lw	c4
aab	ace	wd	ip	aja	nu	c1
nt	aeb	sv	fa	zs	xy	c5
akr	aba	abi	pl	aj	la	c2
jz	ace	ako	eu	afc	agj	c1
rx	ace	lu	iu	agc	wb	c1
en	xn	sf	akz	adr	afc	c4
jd	aba	jm	qd	rm	ob	c2
kp	aba	aix	we	xz	ev	c2
all	xn	qr	bs	agd	mi	c4
qn	xn	ky	wh	hj	nu	c4
yk	xn	acn	akw	qi	eb	c4
gl	ng	io	xu	aiv	mn	c3
ajz	ng	ed	z	qi	a	c3
te	aba	pe	bq	aam	adn	c2
et	aba	sx	lm	yq	pk	c2
r	xn	il	ra	adv	uc	c4
akb	aba	aay	rc	pm	adl	c2
rn	ng	oj	or	td	zp	c3
dc	ng	aco	hi	xd	bp	c3
x	ng	ya	va	tf	wg	c3
aam	ng	vx	kt	qy	cp	c3
aag	aeb	all	iv	ajs	aaj	c5
wq	xn	wl	yo	za	qu	c4
xs	xn	adw	ix	rn	qo	c4
zd	ace	sp	acp	yz	ud	c1
dw	ng	ek	aka	aj	aaq	c3
agn	ace	on	hm	ok	wm	c1
abt	aba	yg	ic	aaz	ee	c2
acx	aba	aim	ach	afe	dz	c2
wu	xn	ajh	so	fv	di	c4
uw	xn	wf	sp	yx	uo	c4
ce	xn	ml	ew	np	aab	c4
ch	aba	dq	wy	aig	agj	c2
zn	aeb	rt	cn	aix	oq	c5
q	ng	gd	bs	mz	qj	c3
p	aeb	kn	ca	acz	fp	c5
agr	aba	bq	zw	yb	jo	c2
aco	ace	su	jd	ox	qo	c1
ii	ng	ep	adc	abq	vw	c3
gj	aba	ale	jf	age	en	c2
ajd	ng	vh	a	rf	ax	c3
yy	xn	of	vj	ot	ug	c4
alk	ng	rt	ajz	fb	yz	c3
acz	ng	aq	abm	ir	xb	c3
aff	aeb	hi	akg	wl	akx	c5
ts	xn	do	fa	fc	ahf	c4
es	xn	acn	es	ex	aig	c4
le	ace	aih	zy	xi	az	c1
nh	aba	aak	kx	u	aar	c2
of	aeb	cr	agv	adm	eh	c5
dn	aba	cq	hm	th	ago	c2
zh	ace	fp	ol	vc	hr	c1
sb	ace	vn	ki	ahm	iw	c1
tq	ace	pb	eu	co	afn	c1
es	ng	vw	aeq	sy	pk	c3
akq	ng	afr	dt	kr	zn	c3
adz	xn	aeq	ag	ahn	agn	c4
ho	ng	acf	qy	jm	ej	c3
cz	xn	afw	vk	abx	aag	c4
yx	xn	gq	ru	ki	ahx	c4
ri	ng	dh	oe	wu	afi	c3
do	xn	ais	lq	gv	vg	c4
is	ace	cq	xa	adh	ali	c1
aed	aba	ej	nt	ce	bh	c2
xc	aba	eg	qa	aht	sk	c2
acr	aeb	afn	tq	cd	vk	c5
gk	ace	sx	agn	tz	ahf	c1
oz	xn	tj	ake	dy	abz	c4
abs	ng	akh	adg	oq	acx	c3
p	ng	iq	ww	agt	qr	c3
bl	aba	agr	kz	rp	aee	c2
ij	ace	aax	akv	kj	py	c1
ys	aba	al	aiq	jm	yt	c2
wq	ace	ia	ahp	xa	ael	c1
gs	aeb	ki	ee	tm	rq	c5
a	aba	aek	eg	tq	at	c2
akw	ng	qs	akt	aw	yf	c3
agb	ng	ack	ws	ir	aiw	c3
bk	aba	kl	tn	ib	aij	c2
ej	ace	me	ua	mb	rh	c1
qn	ace	xi	nj	ajh	gg	c1
aeg	xn	ed	xn	hi	ef	c4
yc	aba	ajo	lf	yj	ji	c2
ds	ng	ach	ak	aes	jl	c3
xs	aba	rl	alk	aey	bo	c2
ml	aba	ahm	gy	i	lq	c2
aa	ng	adg	adf	akw	gs	c3
pp	ng	ia	abe	aau	ip	c3
fo	aeb	no	ajf	aes	fh	c5
aih	xn	ve	ajl	aeq	vu	c4
l	aeb	tm	adg	abo	di	c5
mr	ace	aeq	kr	aif	ir	c1
an	aeb	zl	afe	adc	wr	c5
aaf	xn	adl	hh	vh	mu	c4
ajv	aeb	ma	of	xt	akx	c5
gm	aeb	lr	rw	iy	alf	c5
sb	aeb	jf	hp	oq	xr	c5
ahe	ace	jo	abw	op	wx	c1
ou	ng	ajj	od	pq	qe	c3
ow	ng	ib	xb	aft	agz	c3
ald	aeb	rn	uv	ha	zp	c5
bt	ng	vb	nl	xz	aky	c3
aer	aba	yf	ahs	fu	aee	c2
aji	ace	kl	ahp	ew	adu	c1
aee	ace	vx	rt	i	pr	c1
acm	xn	tg	do	js	ma	c4
cq	xn	xm	ja	sk	rh	c4
kw	aba	aka	zn	abx	op	c2
hs	ng	cj	gq	yg	ajf	c3
qz	aba	fa	aiy	abg	ui	c2
kn	ace	aar	fi	hu	ed	c1
agp	ace	et	kp	yb	j	c1
aav	ng	qz	gx	aig	gi	c3
adr	ace	afp	jv	ei	zh	c1
ajf	aba	wv	gb	kk	fv	c2
en	ng	aaz	ahu	pm	rl	c3
lo	xn	ov	lm	aa	v	c4
al	ace	ali	akk	uu	ru	c1
pu	aeb	pj	et	rl	mw	c5
aap	aeb	cc	aje	ga	aal	c5
uy	xn	aip	ug	agw	kb	c4
fx	ace	akw	f	lj	rx	c1
ba	aba	aia	mw	tw	bn	c2
aej	aeb	cc	i	dh	aeq	c5
g	ng	acv	agv	vm	abn	c3
jj	aba	a	f	ala	wz	c2
ahd	xn	an	zo	afu	hz	c4
nc	ng	bc	acq	ny	fp	c3
ki	aba	dt	aih	acv	aik	c2
tj	aba	az	pg	eu	lc	c2
nm	ng	hw	fm	vu	lt	c3
mu	ng	rk	bs	abt	wx	c3
ld	xn	lq	akh	rl	hf	c4
cd	xn	kl	acd	bf	hu	c4
agt	xn	ahc	nt	uk	qf	c4
aix	aba	hp	ys	ks	adj	c2
dy	aeb	all	aad	zq	fh	c5
xz	aba	tr	ajx	fl	nj	c2
acv	ng	se	afm	hp	kw	c3
abf	ng	adm	mm	fr	qa	c3
acc	xn	aav	agz	adv	ahy	c4
aaz	xn	sd	db	cz	cp	c4
vy	aba	xn	qu	aaz	nb	c2
aje	ace	yh	afp	ajg	aah	c1
uu	ng	zt	aip	pq	mf	c3
hw	aeb	ce	ahc	qq	kz	c5
zy	aeb	gx	hz	aet	cf	c5
afu	ace	ha	ahn	t	ahe	c1
ob	xn	wb	agg	kt	afx	c4
yr	ng	uj	ar	ui	vx	c3
ch	aba	alk	zo	cm	afq	c2
qc	xn	akx	agj	akc	akw	c4
pr	ng	nf	dg	do	jc	c3
xs	aba	n	dw	ib	ss	c2
aiu	xn	ja	ie	acd	abt	c4
lg	xn	ro	adq	wi	afn	c4
aba	aeb	ug	em	aac	mq	c5
aav	ace	op	ft	ps	uk	c1
ala	aba	om	jg	xv	tk	c2
qj	ng	ti	io	aaa	acp	c3
is	aeb	ea	dd	ya	ie	c5
bp	aeb	aev	ny	lr	xd	c5
ob	ng	kc	hj	bt	ald	c3
agr	ace	xy	ql	ia	aas	c1
vc	ng	tf	ad	aeu	ym	c3
ci	ng	am	zk	up	aeg	c3
abn	ng	th	kn	agt	ku	c3
aaf	ace	fp	ny	acj	ajx	c1
aat	ng	tu	fk	ael	agq	c3
afh	ng	ajs	ou	jx	vz	c3
eu	ace	ye	mm	ws	zq	c1
aet	ng	aek	os	gk	abt	c3
bd	aeb	b	wj	al	co	c5
aka	aeb	aey	ajq	yu	afi	c5
agz	aba	ct	wn	ne	qt	c2
akt	ng	abt	fa	wj	gy	c3
agc	ng	tj	us	fv	acn	c3
ald	aeb	oy	an	ix	ahm	c5
cl	aba	zf	aim	aca	zq	c2
abf	ng	ol	zs	tw	ay	c3
abu	ng	ajt	yx	s	agu	c3
akm	ng	sa	aja	aep	sj	c3
fz	aba	qc	uk	alh	vw	c2
lj	xn	ale	il	ale	lb	c4
il	ace	vp	zh	hr	cz	c1
aal	aba	ga	fr	bx	ajj	c2
xg	aba	yx	ux	tr	hc	c2
wd	aeb	hq	aiq	hx	aho	c5
fe	aeb	jg	dj	oi	ail	c5
aai	aba	gu	lp	abe	ais	c2
gu	aba	ace	ap	cp	qs	c2
lx	xn	ey	fn	ajg	vn	c4
agg	aba	aek	cx	akg	fw	c2
vy	xn	og	do	lh	xb	c4
dg	ng	lp	ack	iw	gz	c3
jp	aba	ha	aic	mo	iw	c2
agb	ace	gp	afk	aco	jh	c1
gj	ng	da	ahh	ahi	aep	c3
acy	ng	adi	fi	cm	aii	c3
qp	xn	hm	sn	ajb	aez	c4
kf	ng	aca	abi	acx	qq	c3
kp	aba	agb	abm	ur	wm	c2
cl	ace	cd	ht	yl	um	c1
ki	ng	ac	act	qb	tr	c3
fz	ace	wk	aco	lg	ach	c1
nv	ng	yg	ahr	ww	bd	c3
ui	xn	o	zx	dl	pq	c4
kz	xn	le	ahj	lu	mc	c4
je	aeb	aid	ub	iz	zu	c5
uw	aba	we	ahm	rp	aeb	c2
ahw	aeb	abn	ry	bb	cr	c5
tx	ace	aiy	jf	ug	hj	c1
adb	xn	acb	q	ya	afn	c4
mc	aba	ais	uy	tl	gf	c2
qf	aba	aka	hj	z	ajl	c2
ack	ng	ji	r	yd	nb	c3
jq	ng	xd	vm	ako	ale	c3
ir	xn	aai	ag	adt	sj	c4
ks	xn	rw	vq	yd	pl	c4
bg	aba	fp	hr	os	adz	c2
js	ace	aja	acy	oc	aha	c1
ahm	aba	ll	nw	io	zc	c2
nt	aba	os	abq	cw	uk	c2
ajg	xn	qi	aga	jm	ll	c4
rf	ace	dx	qa	aq	pa	c1
ps	ace	aju	qy	abu	akg	c1
adg	aba	r	xt	mc	ajk	c2
bm	ace	aew	afu	rc	sn	c1
afm	ace	aay	abh	afi	abs	c1
rg	aeb	ajp	afz	tz	akj	c5
fn	ace	yp	aay	pm	ak	c1
uq	xn	ch	hq	eq	ft	c4
akg	xn	abs	la	akp	akq	c4
sy	ng	kx	ahd	bf	fm	c3
yu	aeb	ae	iw	ahi	ws	c5
agp	ace	aat	aep	acp	adp	c1
aja	ace	jg	ajw	gz	vd	c1
ahp	ace	hn	aao	ua	iu	c1
ye	ace	bb	si	vy	iw	c1
ey	aba	aei	ya	acg	hn	c2
aae	aeb	acr	afs	aby	kp	c5
vq	ace	acv	acf	ft	ahc	c1
sa	ng	aik	yp	mu	ajd	c3
ug	ace	ahh	bg	qp	v	c1
iq	xn	ago	vs	az	agh	c4
acf	aeb	cd	aef	ad	yx	c5
yw	xn	ahy	yo	ahq	pk	c4
nz	aeb	akw	yn	en	afk	c5
ek	aba	ade	by	xd	ks	c2
jr	xn	wa	ahg	agu	cf	c4
si	ace	xr	bg	ar	akt	c1
nx	ace	wt	ob	aaq	ef	c1
xb	ng	ik	mn	ar	ako	c3
nx	xn	abv	alk	nd	aa	c4
nl	aeb	gi	qe	zr	og	c5
tm	aeb	lg	pt	aet	ug	c5
kb	ace	ic	lq	gs	vx	c1
aeh	aeb	mq	gp	gk	sh	c5
re	aeb	gq	ahg	agp	rf	c5
ae	ng	ou	ex	ha	uo	c3
ags	aeb	zz	fc	va	fp	c5
ei	aeb	zd	dd	ei	ph	c5
yv	aba	afd	abd	ahu	rs	c2
hk	ace	adi	agp	aif	cs	c1
hc	xn	xq	de	dx	ba	c4
aim	aeb	an	acl	x	wn	c5
x	ng	ix	aac	wu	adq	c3
agl	xn	ld	jr	sx	jh	c4
pi	aba	fg	zh	wd	fe	c2
it	ace	akt	zq	akt	iz	c1
ra	ace	sm	nw	akb	ahg	c1
eb	ace	mu	jq	ba	hl	c1
us	xn	g	kw	bo	in	c4
acz	ace	agd	yu	abt	acg	c1
agt	aeb	sr	acm	ss	cp	c5
we	ng	akh	ml	hx	ev	c3
gr	ace	cc	aao	adt	afl	c1
kc	aeb	sb	wi	aem	agh	c5
kr	ace	kl	na	wn	kb	c1
ahy	aba	aie	act	aeq	ey	c2
ye	ng	bi	agi	abq	aks	c3
il	aba	bt	yu	tx	alg	c2
it	ace	od	acs	lx	agp	c1
gj	ace	la	vz	ax	afa	c1
ry	aba	du	wf	if	za	c2
ach	aba	is	xl	gt	wb	c2
abr	aba	jh	qz	ci	eg	c2
td	xn	ee	ahp	oe	afq	c4
mf	ng	mx	pr	se	fw	c3
hy	xn	aes	acx	fl	ot	c4
aah	ng	xc	am	ain	gz	c3
ov	aeb	sw	adv	ba	fl	c5
lp	ng	gr	aec	afz	wo	c3
nz	xn	ce	kz	eh	abr	c4
yj	aeb	nx	zr	hf	bu	c5
aam	xn	kg	adz	tl	pe	c4
jf	ng	yr	akq	ij	afe	c3
dw	aba	aco	aje	qj	e	c2
jg	aba	aih	aee	nj	bg	c2
ajb	aeb	aae	yn	yq	aev	c5
re	ng	lf	aik	qf	cs	c3
bp	aba	abr	adu	ov	tj	c2
ae	aeb	wz	afq	adn	ajx	c5
tk	xn	ajc	afb	afj	nj	c4
ah	aeb	aca	vm	wv	qu	c5
afv	ace	acf	tj	aen	aks	c1
wn	ace	ack	adv	aju	lr	c1
so	aeb	kd	jn	bw	se	c5
nn	ace	air	j	gc	ajw	c1
sc	ng	aw	gv	eu	acj	c3
un	aba	oj	rb	rh	oo	c2
aib	aeb	hs	mq	cy	xr	c5
ti	xn	rw	agu	akt	abt	c4
na	xn	agu	cx	aai	ef	c4
rw	xn	m	xh	afo	aki	c4
al	xn	ja	ahg	aew	pu	c4
hk	ng	to	ka	ut	mh	c3
ha	ace	bk	aic	ar	bz	c1
zf	aeb	xr	fm	ak	alc	c5
lm	ng	ge	bs	acy	wg	c3
ahz	aeb	cj	yd	ale	acp	c5
b	aeb	aag	ajf	aim	rg	c5
fw	xn	ir	vv	lp	afh	c4
xz	aba	zg	py	gg	lt	c2
zu	aeb	agk	qt	ge	bp	c5
uu	xn	abv	abe	pv	su	c4
ajq	aba	ahy	fk	uh	bk	c2
afy	ng	vt	ip	nh	agp	c3
zz	ace	nk	ji	aeo	dc	c1
qq	aba	xb	hq	ss	rl	c2
az	aba	ws	bs	cd	cl	c2
ud	ng	xp	adh	kb	zz	c3
px	ng	od	al	aki	aeb	c3
hm	ace	ald	kl	jy	iq	c1
ai	xn	aiq	fu	ta	xw	c4
afj	ace	gj	yk	ca	abf	c1
gi	xn	ok	kq	md	xm	c4
aep	aeb	abj	hu	cv	sl	c5
agj	ng	agi	akg	re	se	c3
jz	ace	mk	an	tp	la	c1
xy	aba	yo	m	lr	yw	c2
oa	aba	ja	ajh	abh	vg	c2
vz	aba	ajb	acy	ma	akk	c2
az	ace	ald	nj	me	afo	c1
my	aeb	agi	aej	kj	zl	c5
ra	aeb	akd	aja	by	xg	c5
ln	xn	afd	acz	tv	uy	c4
qz	aba	ade	ahr	afb	pw	c2
dz	aba	aip	ez	hn	so	c2
kd	ng	ajv	wj	aw	agc	c3
uc	ace	ahc	dk	aky	eu	c1
zx	ace	aip	ahu	jc	u	c1
afa	ace	zj	iq	cf	ou	c1
qb	xn	ys	sz	tp	ahm	c4
aev	ace	tg	gy	ty	gr	c1
hj	aeb	eb	mz	an	ee	c5
akf	aeb	mc	aq	jo	gg	c5
d	aeb	aas	sk	li	bt	c5
aio	ng	ox	w	afs	abc	c3
ad	xn	acb	yn	sh	ve	c4
sj	aeb	qx	aaj	aal	ajb	c5
ke	aba	gb	xx	pm	kf	c2
gm	xn	dw	afr	qh	nk	c4
ze	ng	vv	add	afc	bk	c3
ahu	aba	qe	tz	ahy	agj	c2
cx	aeb	aga	jx	sf	zx	c5
yi	xn	alf	abr	ahy	jd	c4
bj	aeb	jp	ax	ju	dp	c5
ik	aba	afc	afg	rk	ajd	c2
hr	aeb	vl	kt	aek	alk	c5
hz	ace	hd	de	acn	aak	c1
aak	aeb	ws	adx	vr	aew	c5
aif	aba	acb	la	aiz	ade	c2
lu	aba	pa	en	bd	ii	c2
gp	xn	nj	ajs	qg	sy	c4
do	xn	ahp	at	jo	ma	c4
qu	ace	li	h	cz	ya	c1
aja	ace	d	ael	ahj	pf	c1
yy	ng	im	kx	rm	wi	c3
ri	ng	nb	mk	co	hz	c3
vy	aba	ahv	co	gf	adx	c2
adv	aeb	jy	ahh	yk	is	c5
wk	ng	wj	dp	rp	xu	c3
ej	aba	ur	yh	abr	acm	c2
lh	aba	ajg	aia	pi	mh	c2
kd	aba	ahf	ar	aeh	hb	c2
akk	ace	jb	ag	wb	nq	c1
an	ace	nt	oy	i	kp	c1
aar	xn	qg	os	ug	jr	c4
